Date;JPM
17/10/2011;25.661499
18/10/2011;27.1744
19/10/2011;26.661833
20/10/2011;27.389347
21/10/2011;27.629097
24/10/2011;28.579832
25/10/2011;27.686974
26/10/2011;28.257402
27/10/2011;30.605314
28/10/2011;30.332491
31/10/2011;28.73691
01/11/2011;27.04213
02/11/2011;27.810978
03/11/2011;28.422749
04/11/2011;28.083797
07/11/2011;28.307013
08/11/2011;28.951859
09/11/2011;26.901587
10/11/2011;27.066925
11/11/2011;27.513361
14/11/2011;26.909853
15/11/2011;27.033859
16/11/2011;26.016991
17/11/2011;25.2068
18/11/2011;25.314274
21/11/2011;24.727301
22/11/2011;24.313938
23/11/2011;23.462414
25/11/2011;23.545082
28/11/2011;24.107258
29/11/2011;23.611217
30/11/2011;25.603628
01/12/2011;25.181999
02/12/2011;26.72797
05/12/2011;27.703503
06/12/2011;27.472021
07/12/2011;28.108597
08/12/2011;26.63703
09/12/2011;27.430681
12/12/2011;26.488222
13/12/2011;25.868172
14/12/2011;26.050051
15/12/2011;26.256737
16/12/2011;26.364214
19/12/2011;25.380411
20/12/2011;26.628757
21/12/2011;26.719698
22/12/2011;27.653894
23/12/2011;27.753107
27/12/2011;27.306675
28/12/2011;26.992521
29/12/2011;27.629097
30/12/2011;27.488556
03/01/2012;28.918787
04/01/2012;29.101976
05/01/2012;29.709835
06/01/2012;29.443371
09/01/2012;29.393414
10/01/2012;30.017925
11/01/2012;30.525856
12/01/2012;30.684065
13/01/2012;29.90967
17/01/2012;29.068668
18/01/2012;30.425922
19/01/2012;30.750666
20/01/2012;31.108721
23/01/2012;31.358521
24/01/2012;31.358521
25/01/2012;31.308563
26/01/2012;31.21698
27/01/2012;30.983818
30/01/2012;30.817291
31/01/2012;31.058765
01/02/2012;31.308563
02/02/2012;31.266935
03/02/2012;31.874783
06/02/2012;31.758211
07/02/2012;31.533392
08/02/2012;31.891436
09/02/2012;31.525063
10/02/2012;31.316896
13/02/2012;31.891436
14/02/2012;31.575018
15/02/2012;31.142033
16/02/2012;31.641638
17/02/2012;32.032997
21/02/2012;32.024651
22/02/2012;31.699919
23/02/2012;32.049644
24/02/2012;31.874783
27/02/2012;32.524277
28/02/2012;32.64917
29/02/2012;32.674156
01/03/2012;33.61507
02/03/2012;33.831562
05/03/2012;33.640057
06/03/2012;32.740757
07/03/2012;33.265347
08/03/2012;33.673359
09/03/2012;34.164627
12/03/2012;33.756634
13/03/2012;36.129745
14/03/2012;36.287956
15/03/2012;37.220547
16/03/2012;37.112297
19/03/2012;37.470356
20/03/2012;37.78677
21/03/2012;37.570274
22/03/2012;37.178925
23/03/2012;37.603584
26/03/2012;38.444584
27/03/2012;38.211437
28/03/2012;38.527866
29/03/2012;38.028244
30/03/2012;38.286369
02/04/2012;38.411285
03/04/2012;38.067638
04/04/2012;37.221142
05/04/2012;37.162468
09/04/2012;36.78532
10/04/2012;36.005859
11/04/2012;36.885891
12/04/2012;37.581528
13/04/2012;36.215393
16/04/2012;36.315971
17/04/2012;36.793694
18/04/2012;36.282448
19/04/2012;36.223774
20/04/2012;35.80471
23/04/2012;35.913666
24/04/2012;36.274063
25/04/2012;36.173477
26/04/2012;36.709885
27/04/2012;36.32436
30/04/2012;36.022614
01/05/2012;36.701508
02/05/2012;36.207016
03/05/2012;36.047764
04/05/2012;34.99173
07/05/2012;35.016865
08/05/2012;34.681629
09/05/2012;34.061405
10/05/2012;34.145218
11/05/2012;30.977104
14/05/2012;29.996502
15/05/2012;30.373663
16/05/2012;29.719913
17/05/2012;28.43759
18/05/2012;28.068815
21/05/2012;27.247448
22/05/2012;28.504635
23/05/2012;28.714163
24/05/2012;28.471113
25/05/2012;28.077188
29/05/2012;28.18615
30/05/2012;27.624609
31/05/2012;27.78385
01/06/2012;26.761335
04/06/2012;25.981884
05/06/2012;26.811623
06/06/2012;27.716799
07/06/2012;27.498886
08/06/2012;28.228054
11/06/2012;27.507271
12/06/2012;28.303493
13/06/2012;28.74769
14/06/2012;29.041035
15/06/2012;29.359522
18/06/2012;29.015888
19/06/2012;29.652863
20/06/2012;30.549658
21/06/2012;29.761831
22/06/2012;30.164129
25/06/2012;29.602575
26/06/2012;29.929451
27/06/2012;30.826244
28/06/2012;30.071928
29/06/2012;29.946205
02/07/2012;30.407183
03/07/2012;30.322666
05/07/2012;29.054996
06/07/2012;28.649351
09/07/2012;28.700048
10/07/2012;28.945133
11/07/2012;29.232481
12/07/2012;28.767662
13/07/2012;30.483246
16/07/2012;29.655033
17/07/2012;29.570528
18/07/2012;29.545166
19/07/2012;29.122608
20/07/2012;28.649351
23/07/2012;29.105703
24/07/2012;29.350794
25/07/2012;29.722641
26/07/2012;30.26351
27/07/2012;31.176237
30/07/2012;30.542397
31/07/2012;30.424076
01/08/2012;30.424076
02/08/2012;29.722641
03/08/2012;30.500149
06/08/2012;30.677618
07/08/2012;31.277655
08/08/2012;31.404409
09/08/2012;31.201588
10/08/2012;31.243835
13/08/2012;31.26075
14/08/2012;31.353708
15/08/2012;31.32836
16/08/2012;31.353708
17/08/2012;31.252293
20/08/2012;31.581894
21/08/2012;32.148121
22/08/2012;31.970648
23/08/2012;31.463577
24/08/2012;31.412861
27/08/2012;31.463577
28/08/2012;31.379059
29/08/2012;31.522736
30/08/2012;31.184689
31/08/2012;31.38751
04/09/2012;31.277655
05/09/2012;31.362164
06/09/2012;32.697437
07/09/2012;33.212948
10/09/2012;32.756596
11/09/2012;33.466499
12/09/2012;33.736919
13/09/2012;34.987698
14/09/2012;35.131363
17/09/2012;34.810215
18/09/2012;34.869377
19/09/2012;34.936981
20/09/2012;34.860935
21/09/2012;34.548241
24/09/2012;34.844025
25/09/2012;34.269352
26/09/2012;34.007385
27/09/2012;34.379208
28/09/2012;34.21019
01/10/2012;34.624298
02/10/2012;34.582043
03/10/2012;34.786366
04/10/2012;35.603672
05/10/2012;35.510017
08/10/2012;35.467449
09/10/2012;35.229076
10/10/2012;35.5611
11/10/2012;35.842037
